1;8;1
2;16;2
3;19;3
4;23;4
5;30;5
6;31;6
7;33;7
8;41;8
9;42;9
10;46;10
11;49;11
12;50;12
13;52;13
14;53;14
15;54;15
16;57;16
17;59;17
18;61;18
19;62;19
20;64;20
21;68;21
22;69;22
23;70;23
24;71;24
25;72;25
26;73;15
27;75;18
29;79;27
30;81;28
31;83;29
32;84;30
33;85;18
34;86;31
35;93;32
36;96;33
37;97;34
38;98;28
39;101;35
40;103;18
41;105;6409
42;106;37
43;107;38
45;109;40
46;110;41
47;111;42
48;113;43
49;114;44
50;115;45
51;116;46
52;117;47
53;119;48
54;122;49
55;123;50
56;126;51
57;127;52
58;128;53
59;129;54
60;131;55
61;133;56
62;135;57
66;139;8
67;141;59
68;142;60
69;143;61
70;144;62
71;145;63
72;146;54
73;149;64
74;150;65
75;154;66
76;159;67
77;160;6409
79;162;35
80;164;68
81;165;15
82;166;35
83;167;69
84;169;70
85;174;71
86;179;72
87;180;73
88;181;73
89;182;74
90;184;75
91;185;76
92;186;77
93;187;78
94;187;79
95;188;80
96;191;81
97;194;82
98;195;83
99;196;84
100;199;85
101;200;86
102;201;87
103;203;88
104;205;89
105;208;90
106;209;91
107;210;92
108;211;93
109;213;94
110;214;94
111;215;6409
112;216;95
113;217;95
114;218;95
115;219;95
116;220;95
117;227;96
118;228;6409
119;230;62
120;231;97
121;232;98
122;233;60
123;234;99
124;235;100
125;237;6409
126;238;101
127;239;102
128;240;103
129;241;104
130;242;105
131;245;106
132;249;107
133;249;108
134;250;109
135;251;110
136;254;6409
137;255;111
139;257;113
140;257;114
141;258;115
144;260;118
145;261;119
146;262;120
147;264;121
148;265;122
149;266;123
150;267;124
151;268;124
152;269;125
153;270;123
154;271;126
155;272;127
156;273;128
157;274;129
158;276;130
159;279;6409
160;281;131
161;283;132
162;284;133
163;286;134
164;288;135
166;295;137
167;296;138
168;297;139
170;299;141
171;300;141
172;301;141
173;304;142
174;305;143
175;306;144
176;307;144
177;308;145
178;309;146
179;310;146
180;312;142
181;313;142
182;314;142
183;315;142
184;317;144
185;318;144
186;319;144
187;320;147
188;321;148
189;322;149
190;323;150
191;323;151
192;324;150
193;324;151
194;330;6409
195;331;6409
196;349;152
197;353;142
198;354;142
199;356;153
200;357;154
